Link,Title Screening (Passed or not),Comment on Title Screening (Always needed if excluded),Abstract Screening (Passed or not),Comment on Abstract Screening,Year,KEYWORDS: Topics (Focus Area),CLEAN KEYWORDS: Topics (Focus Area),KEYWORDS: Types of research,CLEAN KEYWORDS: Types of research,KEYWORDS: Type of Organization (Determined by association of main researcher)
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3597503.3639081,Included,,Included,,2024,"Incident management, query recommendation, KQL (domain-specific language) for cloud systems",Cloud Reliability and Resilience,Empirical / applied systems research (design + evaluation),"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3746635,Included,,Included,,2025,"AIOps, leveraging LLMs in operations & monitoring",Trustworthy IT Systems and Networking,Survey,Survey Research,University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1109/DAC56929.2023.10247987,Included,,Included,,2023,Code generation for IT tasks in YAML using LLMs,Code Generation and Quality,Applied systems,"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3713082.3730370,Excluded,title is The Case for Energy Clarity,Excluded,the focus is on energy-behavior interfaces,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3627703.3629553,Included,,Included,,2024,"root cause analysis in cloud incidents, LLMs for diagnosis, incident management",Cloud Reliability and Resilience,system design with empirical evaluation,"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3695080.3695156,Excluded,adaptive question-answering system,Excluded,RAG-based question-answering in general,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3609510.3609816,Excluded,serverless ML inference systems,Excluded,cost optimization for ML inference in serverless environments,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3722570.3726888,Excluded,smart home platforms,Excluded,automated logic in smart homes,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3696630.3728545,Included,,Included,,2025,automated testing of microservice APIs using LLMs,Cloud Reliability and Resilience,systems research with design,Solution Proposal,University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3701100.3701162,Excluded,carbon footprint modeling of LLMs,Excluded,"energy consumption, carbon emissions, and lifecycle assessment of LLMs",,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3737412.3743491,Excluded,"workload management, time series, and foundational models",Excluded,"foundational time series models for workload management in a cloud context, but it does not involve LLMs",,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3727353.3727475,Excluded,propagation strategies for security and vulnerability detection,Excluded,"technical aspects of taint analysis, data flow tracking, and potential integration with fuzz testing",,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3690407.3690515,Included,,Included,,2024,"LLMs in data cloud systems, cloud-native operations",Cloud Reliability and Resilience,system development + empirical evaluation,"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1109/SCW63240.2024.00266,Excluded,AI applications and workflows,Excluded,AI in climate research using high-performance computing resources,,,,,,
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3674805.3686671,Included,,Included,,2024,optimizing LLM utilization via schedule optimization,LLM Deployment and Optimization,applied systems design + evaluation,"Solution Proposal, Validation Research",University
https://dl-acm-org.ep.bib.mdh.se/doi/10.1145/3626203.3670524,Excluded,benchmarking HPC resources for AI research,Excluded,"AI infrastructure, HPC servers, benchmarking",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105014186886?origin=resultslist,Excluded,agentic intelligence and autonomous AI,Unsure,"abstract mentions LLMs among other AI enablers, the main focus is on agentic intelligence",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105006980579?origin=resultslist,Included,,Excluded,"LLM applications in cybersecurity, IDS, IoT, and autonomous vehicles",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105007145126?origin=resultslist,Excluded,generative AI and intent-driven automation,Excluded,"network automation, intent-based networking, and multimodal generative AI",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105014819529?origin=resultslist,Included,,Included,,2025,LLMs for bottleneck detection in manufacturing,Manufacturing,experimental study,Experimental Research,University
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105014193564?origin=resultslist,Excluded,network defense technologies and programmable data planes,Excluded,programmable data planes for network security,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105011625889?origin=resultslist,Included,,Excluded,"UAV-assisted satellite edge computing, task offloading, and resource allocation",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105002316169?origin=resultslist,Included,,Included,,2025,"Industrial IoT (IIoT), edge-cloud collaboration, task offloading, reinforcement learning","Industrial IoT (IIoT), Cloud-Edge Collaboration",experimental study,Experimental Research,University
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105004049947?origin=resultslist,Included,,Included,,2025,"microservices architecture, anomaly detection, Kubernetes",Cloud Reliability and Resilience,experimental study,Experimental Research,University
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105001105452?origin=resultslist,Included,,Excluded,No direct industry application,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105013620206?origin=resultslist,Included,,Excluded,Not related to industry,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105010821007?origin=resultslist,Excluded,digitalized application service model,Excluded,collaborative architecture for power distribution systems,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105002979636?origin=resultslist,Included,,Excluded,Theoretical,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/85211225296?origin=resultslist,Excluded,focus is on advanced driver assistance systems,Excluded,"application domain is automotive safety and IoT, not industrial systems",,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105002338387?origin=resultslist,Excluded,advanced communications technology with a broad AI focus,Excluded,,,,,,,
https://www-scopus-com.ep.bib.mdh.se/pages/publications/105014370077?origin=resultslist,Excluded,intelligent systems in general,Unsure,,,,,,,
